profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
C,20260627.0,20.0,8.0,50.0,-8.981972068627531,0.9925,0.8656211956692194,0.9999697759916403,0.8656471898685291,20.4,73.76,0.995,0.9925,0.01414213562373095,0.04448764167960489
C,20260627.0,20.0,16.0,50.0,-12.124294230341688,0.98125,0.934853768636765,0.9999508863816385,0.9349000660342597,20.4,73.76,0.98625,0.9825,0.0835337115112852,0.131104905727807
C,20260627.0,30.0,4.0,50.0,-6.491186312993872,1.0,0.7608673221955123,1.0,0.7608673221955123,20.4,73.76,1.0,1.0,0.0,0.0
C,20260627.0,30.0,8.0,50.0,-8.984204820588511,1.0,0.865647189868529,1.0,0.8656471898685291,20.4,73.76,1.0,1.0,0.0,0.0
C,20260627.0,30.0,16.0,50.0,-12.133488132276764,0.995,0.9348964943498528,0.999996218618392,0.9349000660342597,20.4,73.76,0.9975,0.995,0.02280238966157534,0.04549885641328031
C,20260628.0,0.0,4.0,50.0,-6.242895436676364,0.955,0.7426988922328759,0.9983133071041692,0.7436766059298273,21.72,80.24,0.97,0.955,0.06732050807568876,0.20937478448453398
C,20260628.0,0.0,8.0,50.0,-8.510222583141745,0.9175,0.8500672274610885,0.9966306058303915,0.8529729111136781,21.72,80.24,0.94,0.925,0.22114944592917823,0.3519009144647083
C,20260628.0,0.0,16.0,50.0,-10.77035154899079,0.88125,0.9221554115857644,0.9941512700014664,0.9276159053284627,21.72,80.24,0.91,0.9075,1.997393104635688,0.6283904527737618
C,20260628.0,10.0,4.0,50.0,-6.278897208890762,0.965,0.7434288684079733,0.9996131414733598,0.7436766059298273,21.72,80.24,0.98,0.965,0.04,0.1735169201082649
C,20260628.0,10.0,8.0,50.0,-8.737950889297176,0.9675,0.8527086514202974,0.9996913716158775,0.8529729111136781,21.72,80.24,0.9825,0.9675,0.07277916867529369,0.1941289719692248
C,20260628.0,10.0,16.0,50.0,-11.7417186637541,0.96625,0.9272549616578156,0.9996134511597292,0.9276159053284627,21.72,80.24,0.97375,0.97,0.16728399973829622,0.244713255647871
C,20260628.0,20.0,4.0,50.0,-6.2853696785696425,0.99,0.7436598817052478,0.9999807073218926,0.7436766059298273,21.72,80.24,0.995,0.99,0.01414213562373095,0.03
C,20260628.0,20.0,8.0,50.0,-8.758138949259187,0.99,0.8529385177436372,0.9999584844537038,0.8529729111136781,21.72,80.24,0.995,0.99,0.01414213562373095,0.07185815445805621
